id,usuario_id,horario_general_id,fecha_inicio,activo
1,1,1,2025-06-26,true
2,2,1,2025-06-26,true
3,3,1,2025-06-26,true
4,4,1,2025-06-26,true
5,5,1,2025-06-26,true
6,6,1,2025-06-26,true
7,7,1,2025-06-26,true
8,8,1,2025-06-26,true
9,9,1,2025-06-26,true
10,10,1,2025-06-26,true
11,11,1,2025-06-26,true
12,12,1,2025-06-26,true
13,13,1,2025-06-26,true
14,14,1,2025-06-26,true
15,15,1,2025-06-26,true
16,16,1,2025-06-26,true
17,17,1,2025-06-26,true
18,18,1,2025-06-26,true
19,19,1,2025-06-26,true
20,20,1,2025-06-26,true
21,21,1,2025-06-26,true
22,22,1,2025-06-26,true
23,23,1,2025-06-26,true
24,24,1,2025-06-26,true
25,25,1,2025-06-26,true
26,26,1,2025-06-26,true
27,27,1,2025-06-26,true
28,28,1,2025-06-26,true
29,29,1,2025-06-26,true
30,30,1,2025-06-26,true
31,31,1,2025-06-26,true
32,32,1,2025-06-26,true
33,33,1,2025-06-26,true
34,34,1,2025-06-26,true
35,35,1,2025-06-26,true
36,36,1,2025-06-26,true
37,37,1,2025-06-26,true
38,38,1,2025-06-26,true
39,39,1,2025-06-26,true
40,40,1,2025-06-26,true
41,41,1,2025-06-26,true
42,42,1,2025-06-26,true
43,43,1,2025-06-26,true
44,44,1,2025-06-26,true
45,45,1,2025-06-26,true
46,46,1,2025-06-26,true
47,47,1,2025-06-26,true
48,48,1,2025-06-26,true
49,49,1,2025-06-26,true
50,50,1,2025-06-26,true
51,51,1,2025-06-26,true
