"id";"codigo";"sucursal_id";"descripcion";"marca";"grupo_muscular";"categoria";"numero_equipo"
64;"01PLSMICPI10";1;"Smith Machine";"Icarian";"Pierna";"Peso Libre";"10"
65;"01PLSMFLPI11";1;"Smith Machine";"Flex";"Pierna";"Peso Libre";"11"
66;"01PLPPHSPI12";1;"Prensa Pierna";"Hammer Strength";"Pierna";"Peso Libre";"12"
67;"01PLPPHSPI13";1;"Prensa Pierna";"Hammer Strength";"Pierna";"Peso Libre";"13"
68;"01PLHSSTPI14";1;"Prensa Pierna Hack Squat";"Star Trac";"Pierna";"Peso Libre";"14"
69;"01PLPPHSPI15";1;"Prensa P/Pierna Parado";"Hammer Strength";"Pierna";"Peso Libre";"15"
70;"01PLJPICPI16";1;"Jaula P/Pierna Sentadilla";"Icarian";"Pierna";"Peso Libre";"16"
71;"01PLHTULPI17";1;"Hip Thrust";"Ultra";"Pierna";"Peso Libre";"17"
72;"01PLVKSMAB18";1;"Vkr";"SIN MARCA";"Abdomen";"Peso Libre";"18"
73;"01PLVKSMAB19";1;"Vkr";"SIN MARCA";"Abdomen";"Peso Libre";"19"
74;"01PLBACBAB20";1;"Banca Abdominal";"Cybex";"Abdomen";"Peso Libre";"20"
75;"01PLBACBAB21";1;"Banca Abdominal";"Cybex";"Abdomen";"Peso Libre";"21"
76;"01PLRBHSSG22";1;"Rack Barra Integrada";"Hammer Strength";"Sin grupo muscular";"Peso Libre";"22"
77;"01PLBZHSSG23";1;"Rack Barra Integrada Z";"Hammer Strength";"Sin grupo muscular";"Peso Libre";"23"
78;"01PLBMCBSG24";1;"Banca Multiposicion";"Cybex";"Sin grupo muscular";"Peso Libre";"24"
79;"01PLBMCBSG25";1;"Banca Multiposicion";"Cybex";"Sin grupo muscular";"Peso Libre";"25"
80;"01PLBMCBSG26";1;"Banca Multiposicion";"Cybex";"Sin grupo muscular";"Peso Libre";"26"
81;"01PLRDULSG27";1;"Rack Docle P/Mancuernas";"Ultra";"Sin grupo muscular";"Peso Libre";"27"
82;"01PLRDULSG28";1;"Rack Docle P/Mancuernas";"Ultra";"Sin grupo muscular";"Peso Libre";"28"
83;"01PLRDULSG29";1;"Rack Docle P/Mancuernas";"Ultra";"Sin grupo muscular";"Peso Libre";"29"
84;"01PLRDULSG30";1;"Rack Docle P/Mancuernas";"Ultra";"Sin grupo muscular";"Peso Libre";"30"
85;"01PLRDULSG31";1;"Rack Doble P/Mancuernas";"Ultra";"Sin grupo muscular";"Peso Libre";"31"
86;"01PLBPFLSG32";1;"Banca Plana";"Flex";"Sin grupo muscular";"Peso Libre";"32"
